atlas,region,amygdala,fear,fear_conditioning,stress,threat,fear_study_count,threat_study_count,fear_conditioning_study_count,stress_study_count,amygdala_study_count,mean_score_fear_threat_stress,mean_score_all_terms,rank_fear_threat_stress,rank_all_terms,mouse_source_file,mouse_cross_reference_status,mouse_match_count,mouse_top_matches,mouse_best_connection_distance,mouse_best_projection_metric
harvard_oxford_cortical,Frontal Opercular Cortex,62.79407829491273,22.28828062608219,5.565309448409722,11.160148450580367,16.65537654208885,363,228,77,321,1579,13.917278766790282,23.692638672414773,1.0,1.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,Insular Cortex,47.4689664290224,17.724935232684548,5.42614312312923,8.776769495186072,8.925349398440927,363,228,77,321,1579,10.213299312360194,17.664432735692635,2.0,2.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,"Inferior Frontal Gyrus, pars opercularis",35.16960798159387,8.682711448276015,1.4359857855654377,6.047307726043989,5.994421174896402,363,228,77,321,1579,5.540106533695461,11.466006823275142,3.0,5.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,"Parahippocampal Gyrus, anterior division",35.36365015204016,10.398780568107638,3.4522203959885602,2.892089044464122,5.313492104737965,363,228,77,321,1579,5.514145528324572,11.484046453067688,4.0,4.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,Temporal Occipital Fusiform Cortex,42.00995100284873,10.881773928404595,1.7749864709450225,1.451493307064444,6.135018940711867,363,228,77,321,1579,5.060818161781482,12.45064472999493,5.0,3.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,"Inferior Frontal Gyrus, pars triangularis",36.89646188924909,6.403270791742988,0.7820087961388209,4.728998096646621,6.378655903803476,363,228,77,321,1579,4.573233397082976,11.0378790955162,6.0,6.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),12.878884581794726,4.576821928824595,1.8316307417728843,5.367089545645174,3.9871432545822976,363,228,77,321,1579,3.940671367706238,5.728314010523936,7.0,10.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,Planum Polare,20.461958292134803,5.915182981962948,2.2201188575096467,4.214916050126738,1.851520612794827,363,228,77,321,1579,3.55043462559854,6.932739358905792,8.0,7.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,Heschl's Gyrus (includes H1 and H2),10.723960554460435,6.5637729922290085,0.8694063384787685,3.819922489856717,2.011515314031743,363,228,77,321,1579,3.3161542836490594,4.797715537811334,9.0,12.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,Central Opercular Cortex,12.926667010824577,5.38124860091543,1.8603731182532466,3.556754847596688,1.7609612814609594,363,228,77,321,1579,3.139834462056581,5.09720097181018,10.0,11.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,Parietal Opercular Cortex,6.868162643643341,5.765059840477773,1.8620683097608324,2.43963752596718,2.4368806513672436,363,228,77,321,1579,3.1259115818932575,3.874361794243274,11.0,17.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,"Parahippocampal Gyrus, posterior division",22.069258173814692,4.293666933972859,0.9394414524283178,3.9842145530894286,2.395676204423164,363,228,77,321,1579,2.903249785978442,6.736451463545691,12.0,8.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,"Lateral Occipital Cortex, inferior division",17.93895475657347,6.894646385115453,0.4301358485350808,0.6134005348686337,2.8908180186148753,363,228,77,321,1579,2.7072501967835105,5.753591108741502,13.0,9.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,Occipital Fusiform Gyrus,11.346037201252429,5.527769307057834,0.9269999991340023,0.6232762690020278,2.0347023101834396,363,228,77,321,1579,2.278186971344326,4.091757017325946,14.0,14.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,Angular Gyrus,11.383129625942793,3.4682458187025698,0.46994280346053086,1.6754808529486025,2.564614573469894,363,228,77,321,1579,2.0445710121453993,3.9122827349048777,15.0,15.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,"Supramarginal Gyrus, posterior division",7.5303185827658465,3.424760580290487,0.6093305654332587,1.561210744510775,2.0932842389735438,363,228,77,321,1579,1.922146532302016,3.0437809423947817,16.0,23.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,"Cingulate Gyrus, posterior division",8.426750387647495,2.252582066203833,0.6373952393334922,3.493506456266314,0.9226885930997871,363,228,77,321,1579,1.8265430887258565,3.146584548510184,17.0,20.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,Planum Temporale,9.24797416543935,4.242490911808981,0.45256094583661366,1.3129664257613942,1.2351754231097516,363,228,77,321,1579,1.8107984266291852,3.298233574391218,18.0,19.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,"Supramarginal Gyrus, anterior division",3.136195164406351,3.7025097089736434,0.6569645404914813,1.3031922031237462,1.1643222520926833,363,228,77,321,1579,1.7067471761703885,1.992636773817581,19.0,27.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,"Inferior Temporal Gyrus, temporooccipital part",14.822609585735115,3.5065191058827,0.3728040628938111,0.33146737641536245,2.214547911435861,363,228,77,321,1579,1.6063346141569337,4.24958960847257,20.0,13.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,"Middle Temporal Gyrus, temporooccipital part",13.25906605746574,3.536577608655094,0.08048927992691574,0.4950427250301238,2.081565591034057,363,228,77,321,1579,1.5484188011615476,3.8905482524223856,21.0,16.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,Middle Frontal Gyrus,8.594412404213783,1.7133943629699993,0.5249988206059973,1.6409901310587278,2.028850627519132,363,228,77,321,1579,1.477058485538464,2.9005292692735276,22.0,24.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,Temporal Pole,10.72251385599936,3.094233569874925,0.9867898227353423,0.7818704332727209,0.9761483604773468,363,228,77,321,1579,1.4597605465900836,3.3123112084719386,23.0,18.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,"Temporal Fusiform Cortex, posterior division",7.510929193721167,2.247428431955644,0.6132948853521732,1.1746495432941924,1.2996424064133378,363,228,77,321,1579,1.333753816753837,2.569188892147303,24.0,25.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,"Superior Temporal Gyrus, posterior division",10.547744878736511,2.663452937340608,0.10315467226949335,1.0297994870066283,1.298505611301789,363,228,77,321,1579,1.2737281769796298,3.128531517331006,25.0,21.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,Supracalcarine Cortex,0.2503930904480541,0.3418397755960722,0.09374981443227008,0.9540253058231125,2.9967101928839597,363,228,77,321,1579,1.0965812721838535,0.9273436358366937,26.0,37.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,Superior Frontal Gyrus,6.2877602711506775,1.5733542715561442,0.24642788104903224,1.0298918440445972,1.5279283064184297,363,228,77,321,1579,1.0944005757670507,2.133072514843776,27.0,26.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,Intracalcarine Cortex,0.8145170567256446,0.8487917708924757,0.7163494099991495,0.7759324405943674,1.883830952102335,363,228,77,321,1579,1.0562261433970819,1.0078843260627945,28.0,36.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,Precuneous Cortex,4.024266138560322,1.2116486190618452,0.2284054455721088,1.4001345129981544,1.3457067776616591,363,228,77,321,1579,1.0464738388234418,1.6420322987708178,29.0,31.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,Frontal Pole,4.865597188371051,1.0102134733623251,0.3087327003430428,1.0724098402973965,1.464888695308919,363,228,77,321,1579,0.9640611773279208,1.744368379536547,30.0,30.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,Precentral Gyrus,5.29765948079806,0.9377726446501384,0.1320545384516331,1.3794730346165216,1.0657476631118443,363,228,77,321,1579,0.8787619702075344,1.7625414723256398,31.0,29.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,"Superior Temporal Gyrus, anterior division",12.173987640656241,0.9108674902402867,0.7835521470101635,1.1390013730473119,0.3502009939324664,363,228,77,321,1579,0.7959055010575571,3.071521928977294,32.0,22.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,Lingual Gyrus,2.3307134060199433,0.9351057783020936,0.5528139571992373,0.6095148428425836,0.9007504651757949,363,228,77,321,1579,0.7495462608799274,1.0657796899079304,33.0,35.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,Superior Parietal Lobule,3.4576918731026867,0.6087624677047057,0.12200223446798004,1.467404686725778,0.6353397418392216,363,228,77,321,1579,0.7083772826844213,1.2582402007680744,34.0,33.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,"Lateral Occipital Cortex, superior division",2.8397074357992294,0.7367882211309185,0.11223431895427363,0.7769836793399771,0.894063062178998,363,228,77,321,1579,0.6300173204010417,1.0719553434806792,35.0,34.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,"Middle Temporal Gyrus, posterior division",5.570841421353226,1.111668462059284,0.14118156402350218,0.526217005276813,0.5542741570755689,363,228,77,321,1579,0.5833352971087921,1.580836521957679,36.0,32.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,Cuneal Cortex,0.0,0.01685411358234614,0.06401006352356677,0.40111649393693527,1.1161074222425862,363,228,77,321,1579,0.39952202332135855,0.3196176186570868,37.0,39.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,"Middle Temporal Gyrus, anterior division",7.522538209088617,0.2316521951916275,0.09476752146332107,0.93615001710056,0.13577347925614372,363,228,77,321,1579,0.34958580325291305,1.7841762844200537,38.0,28.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,Occipital Pole,1.1475826887932166,0.695554743645761,0.03180200491111735,0.20461245532608827,0.2286430496147455,363,228,77,321,1579,0.29015306337442803,0.46163898845818574,39.0,38.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,Postcentral Gyrus,0.26759511830428834,0.27921361991834387,0.1432117154687497,0.5036457331255786,0.0647202663431377,363,228,77,321,1579,0.24769783371395246,0.2516772906320196,40.0,40.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,"Temporal Fusiform Cortex, anterior division",0.5784632235819457,0.05375437376450514,0.114591778193745,0.006232419256587432,0.0,363,228,77,321,1579,0.043644642803709395,0.15060835895935665,41.0,41.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,"Inferior Temporal Gyrus, posterior division",0.36729199488479164,0.10457999416657927,0.012612648608357665,0.0004507710031047499,0.040526703924090045,363,228,77,321,1579,0.039542529425532935,0.10509242251738468,42.0,42.0,,no_mouse_output_found,0,,,
harvard_oxford_cortical,"Inferior Temporal Gyrus, anterior division",0.0,0.0,0.06496081517367452,0.007981838724501691,0.0,363,228,77,321,1579,0.018235663474544053,0.014588530779635242,43.0,43.0,,no_mouse_output_found,0,,,
