logit_sorted,prob_sorted
-4.076908720105443,0.01667697388302124
-3.7411962836498844,0.023175840360311666
-3.676443233552398,0.024687925131270817
-3.611412239952156,0.02630312615768543
-3.524532958170246,0.028622196590542787
-3.502597888230303,0.02923840329281384
-3.310834968348464,0.035201350822850065
-3.0786626315225543,0.04399603133184535
-2.9540354152585917,0.04954613274736827
1.851841439657343,0.8643431641624649
3.714790945725696,0.976218789707858
3.879200013163741,0.9797511381786771
4.091293552182746,0.9835572881045773
4.120986248994086,0.9840306572935936
4.165404743557557,0.9847138626723562
4.2612069506222845,0.986090923478246
4.264423280742751,0.9861349685217725
